game_id,date,opponent,home_away,rockies_score,opponent_score,result
401694910,2025-03-28T20:10Z,Tampa Bay Rays,away,2,3,Loss
401694932,2025-03-29T20:10Z,Tampa Bay Rays,away,2,1,Win
401694947,2025-03-30T17:40Z,Tampa Bay Rays,away,4,6,Loss
401694961,2025-03-31T19:05Z,Philadelphia Phillies,away,1,6,Loss
401694989,2025-04-02T22:45Z,Philadelphia Phillies,away,1,5,Loss
401695004,2025-04-03T17:05Z,Philadelphia Phillies,away,1,3,Loss
401695018,2025-04-04T20:10Z,Athletics,home,3,6,Loss
401695033,2025-04-06T00:10Z,Athletics,home,4,7,Loss
401695048,2025-04-06T19:10Z,Athletics,home,12,5,Win
401695072,2025-04-09T00:40Z,Milwaukee Brewers,home,1,7,Loss
401695087,2025-04-10T00:40Z,Milwaukee Brewers,home,2,17,Loss
401695097,2025-04-10T19:10Z,Milwaukee Brewers,home,7,2,Win
401695109,2025-04-12T01:40Z,San Diego Padres,away,0,8,Loss
401695124,2025-04-13T00:40Z,San Diego Padres,away,0,2,Loss
401695139,2025-04-13T20:10Z,San Diego Padres,away,0,6,Loss
401695152,2025-04-15T02:10Z,Los Angeles Dodgers,away,3,5,Loss
401695167,2025-04-16T02:10Z,Los Angeles Dodgers,away,2,6,Loss
401695182,2025-04-17T02:10Z,Los Angeles Dodgers,away,7,8,Loss
401695221,2025-04-19T20:10Z,Washington Nationals,home,11,12,Loss
401695236,2025-04-20T19:10Z,Washington Nationals,home,2,3,Loss
401768543,2025-04-21T00:10Z,Washington Nationals,home,3,1,Win
401695254,2025-04-22T23:40Z,Kansas City Royals,away,3,4,Loss
401695279,2025-04-24T18:10Z,Kansas City Royals,away,4,7,Loss
401769126,2025-04-24T21:25Z,Kansas City Royals,away,2,6,Loss
401695292,2025-04-26T00:40Z,Cincinnati Reds,home,7,8,Loss
401695307,2025-04-26T19:10Z,Cincinnati Reds,home,4,6,Loss
401695322,2025-04-27T19:10Z,Cincinnati Reds,home,1,8,Loss
401695335,2025-04-29T00:40Z,Atlanta Braves,home,3,6,Loss
401695348,2025-04-30T00:40Z,Atlanta Braves,home,2,8,Loss
401695363,2025-04-30T19:10Z,Atlanta Braves,home,2,1,Win
401695376,2025-05-02T01:45Z,San Francisco Giants,away,4,3,Win
401695391,2025-05-03T02:15Z,San Francisco Giants,away,0,4,Loss
401695406,2025-05-03T20:05Z,San Francisco Giants,away,3,6,Loss
401695421,2025-05-04T20:05Z,San Francisco Giants,away,3,9,Loss
401695459,2025-05-08T00:40Z,Detroit Tigers,home,6,8,Loss
401695468,2025-05-08T19:10Z,Detroit Tigers,home,2,10,Loss
401770084,2025-05-08T22:10Z,Detroit Tigers,home,1,11,Loss
401695481,2025-05-10T00:40Z,San Diego Padres,home,9,13,Loss
401695496,2025-05-11T00:10Z,San Diego Padres,home,0,21,Loss
